position,AME-2019,ARA-2019,ARG-2019,AUS-2019,AUT-2019,CAT-2019,CZE-2019,FRA-2019,GBR-2019,GER-2019,ITA-2019,JPN-2019,MAL-2019,NED-2019,QAT-2019,RSM-2019,SPA-2019,THA-2019,VAL-2019,ANC-2020,ARA-2020,AUT-2020,CAT-2020,CZE-2020,EMI-2020,EUR-2020,FRA-2020,POR-2020,RSM-2020,SPA-2020,STY-2020,TER-2020,VAL-2020,ALR-2021,AME-2021,ARA-2021,AUT-2021,CAT-2021,DOH-2021,EMI-2021,FRA-2021,GBR-2021,GER-2021,ITA-2021,NED-2021,POR-2021,QAT-2021,RSM-2021,SPA-2021,STY-2021,VAL-2021,AME-2022,ARA-2022,ARG-2022,AUS-2022,AUT-2022,CAT-2022,FRA-2022,GBR-2022,GER-2022,INA-2022,ITA-2022,JPN-2022,MAL-2022,NED-2022,POR-2022,QAT-2022,RSM-2022,SPA-2022,THA-2022,VAL-2022
1.0,Alex_Rins,Marc_Marquez,Marc_Marquez,Marc_Marquez,Andrea_Dovizioso,Marc_Marquez,Marc_Marquez,Marc_Marquez,Alex_Rins,Marc_Marquez,Danilo_Petrucci,Marc_Marquez,Maverick_Viñales,Maverick_Viñales,Andrea_Dovizioso,Marc_Marquez,Marc_Marquez,Marc_Marquez,Marc_Marquez,Fabio_Quartararo,Alex_Rins,Pol_Espargaro,Fabio_Quartararo,Brad_Binder,Maverick_Viñales,Joan_Mir,Danilo_Petrucci,Miguel_Oliveira,Franco_Morbidelli,Fabio_Quartararo,Joan_Mir,Franco_Morbidelli,Franco_Morbidelli,Francesco_Bagnaia,Marc_Marquez,Francesco_Bagnaia,Brad_Binder,Miguel_Oliveira,Fabio_Quartararo,Marc_Marquez,Jack_Miller,Fabio_Quartararo,Marc_Marquez,Fabio_Quartararo,Fabio_Quartararo,Fabio_Quartararo,Maverick_Viñales,Francesco_Bagnaia,Jack_Miller,Jorge_Martin,Francesco_Bagnaia,Enea_Bastianini,Enea_Bastianini,Aleix_Espargaro,Alex_Rins,Francesco_Bagnaia,Fabio_Quartararo,Enea_Bastianini,Francesco_Bagnaia,Fabio_Quartararo,Miguel_Oliveira,Francesco_Bagnaia,Jack_Miller,Francesco_Bagnaia,Francesco_Bagnaia,Fabio_Quartararo,Enea_Bastianini,Francesco_Bagnaia,Francesco_Bagnaia,Miguel_Oliveira,Alex_Rins
2.0,Valentino_Rossi,Andrea_Dovizioso,Valentino_Rossi,Cal_Crutchlow,Marc_Marquez,Fabio_Quartararo,Andrea_Dovizioso,Andrea_Dovizioso,Marc_Marquez,Maverick_Viñales,Marc_Marquez,Fabio_Quartararo,Marc_Marquez,Marc_Marquez,Marc_Marquez,Fabio_Quartararo,Alex_Rins,Fabio_Quartararo,Fabio_Quartararo,Maverick_Viñales,Alex_Marquez,Andrea_Dovizioso,Joan_Mir,Franco_Morbidelli,Joan_Mir,Alex_Rins,Alex_Marquez,Jack_Miller,Francesco_Bagnaia,Maverick_Viñales,Takaaki_Nakagami,Alex_Rins,Jack_Miller,Joan_Mir,Fabio_Quartararo,Marc_Marquez,Francesco_Bagnaia,Johann_Zarco,Johann_Zarco,Pol_Espargaro,Johann_Zarco,Alex_Rins,Miguel_Oliveira,Miguel_Oliveira,Maverick_Viñales,Francesco_Bagnaia,Johann_Zarco,Fabio_Quartararo,Francesco_Bagnaia,Joan_Mir,Jorge_Martin,Alex_Rins,Francesco_Bagnaia,Jorge_Martin,Marc_Marquez,Fabio_Quartararo,Jorge_Martin,Jack_Miller,Maverick_Viñales,Johann_Zarco,Fabio_Quartararo,Fabio_Quartararo,Brad_Binder,Enea_Bastianini,Marco_Bezzecchi,Johann_Zarco,Brad_Binder,Enea_Bastianini,Fabio_Quartararo,Jack_Miller,Brad_Binder
3.0,Jack_Miller,Jack_Miller,Andrea_Dovizioso,Jack_Miller,Fabio_Quartararo,Danilo_Petrucci,Jack_Miller,Danilo_Petrucci,Maverick_Viñales,Cal_Crutchlow,Andrea_Dovizioso,Andrea_Dovizioso,Andrea_Dovizioso,Fabio_Quartararo,Cal_Crutchlow,Maverick_Viñales,Maverick_Viñales,Maverick_Viñales,Jack_Miller,Valentino_Rossi,Joan_Mir,Jack_Miller,Alex_Rins,Johann_Zarco,Pol_Espargaro,Pol_Espargaro,Pol_Espargaro,Franco_Morbidelli,Joan_Mir,Andrea_Dovizioso,Jack_Miller,Joan_Mir,Pol_Espargaro,Jack_Miller,Francesco_Bagnaia,Joan_Mir,Jorge_Martin,Jack_Miller,Jorge_Martin,Enea_Bastianini,Fabio_Quartararo,Aleix_Espargaro,Fabio_Quartararo,Joan_Mir,Joan_Mir,Joan_Mir,Francesco_Bagnaia,Enea_Bastianini,Franco_Morbidelli,Fabio_Quartararo,Jack_Miller,Jack_Miller,Aleix_Espargaro,Alex_Rins,Francesco_Bagnaia,Jack_Miller,Johann_Zarco,Aleix_Espargaro,Jack_Miller,Jack_Miller,Johann_Zarco,Aleix_Espargaro,Jorge_Martin,Fabio_Quartararo,Maverick_Viñales,Aleix_Espargaro,Pol_Espargaro,Maverick_Viñales,Aleix_Espargaro,Francesco_Bagnaia,Jorge_Martin
4.0,Andrea_Dovizioso,Maverick_Viñales,Jack_Miller,Francesco_Bagnaia,Valentino_Rossi,Alex_Rins,Alex_Rins,Jack_Miller,Valentino_Rossi,Danilo_Petrucci,Alex_Rins,Maverick_Viñales,Valentino_Rossi,Andrea_Dovizioso,Alex_Rins,Valentino_Rossi,Andrea_Dovizioso,Andrea_Dovizioso,Andrea_Dovizioso,Takaaki_Nakagami,Maverick_Viñales,Joan_Mir,Franco_Morbidelli,Alex_Rins,Fabio_Quartararo,Takaaki_Nakagami,Andrea_Dovizioso,Pol_Espargaro,Valentino_Rossi,Jack_Miller,Pol_Espargaro,Pol_Espargaro,Alex_Rins,Alex_Marquez,Alex_Rins,Aleix_Espargaro,Joan_Mir,Joan_Mir,Alex_Rins,Fabio_Quartararo,Francesco_Bagnaia,Jack_Miller,Brad_Binder,Johann_Zarco,Johann_Zarco,Franco_Morbidelli,Joan_Mir,Marc_Marquez,Takaaki_Nakagami,Brad_Binder,Joan_Mir,Joan_Mir,Brad_Binder,Joan_Mir,Marco_Bezzecchi,Luca_Marini,Joan_Mir,Fabio_Quartararo,Enea_Bastianini,Aleix_Espargaro,Jack_Miller,Johann_Zarco,Marc_Marquez,Marco_Bezzecchi,Aleix_Espargaro,Alex_Rins,Aleix_Espargaro,Luca_Marini,Marc_Marquez,Johann_Zarco,Fabio_Quartararo
5.0,Franco_Morbidelli,Fabio_Quartararo,Alex_Rins,Joan_Mir,Maverick_Viñales,Jack_Miller,Cal_Crutchlow,Valentino_Rossi,Franco_Morbidelli,Andrea_Dovizioso,Takaaki_Nakagami,Cal_Crutchlow,Alex_Rins,Franco_Morbidelli,Valentino_Rossi,Franco_Morbidelli,Danilo_Petrucci,Alex_Rins,Alex_Rins,Joan_Mir,Takaaki_Nakagami,Miguel_Oliveira,Jack_Miller,Valentino_Rossi,Miguel_Oliveira,Miguel_Oliveira,Johann_Zarco,Takaaki_Nakagami,Alex_Rins,Franco_Morbidelli,Alex_Rins,Johann_Zarco,Brad_Binder,Johann_Zarco,Jorge_Martin,Jack_Miller,Luca_Marini,Maverick_Viñales,Maverick_Viñales,Johann_Zarco,Danilo_Petrucci,Pol_Espargaro,Francesco_Bagnaia,Brad_Binder,Miguel_Oliveira,Brad_Binder,Fabio_Quartararo,Jack_Miller,Joan_Mir,Takaaki_Nakagami,Fabio_Quartararo,Francesco_Bagnaia,Jack_Miller,Francesco_Bagnaia,Enea_Bastianini,Johann_Zarco,Aleix_Espargaro,Johann_Zarco,Jorge_Martin,Luca_Marini,Alex_Rins,Marco_Bezzecchi,Miguel_Oliveira,Alex_Rins,Brad_Binder,Miguel_Oliveira,Marc_Marquez,Fabio_Quartararo,Jack_Miller,Marc_Marquez,Miguel_Oliveira
6.0,Danilo_Petrucci,Cal_Crutchlow,Danilo_Petrucci,Andrea_Iannone,Alex_Rins,Joan_Mir,Valentino_Rossi,Pol_Espargaro,Cal_Crutchlow,Jack_Miller,Maverick_Viñales,Franco_Morbidelli,Franco_Morbidelli,Danilo_Petrucci,Danilo_Petrucci,Andrea_Dovizioso,Valentino_Rossi,Franco_Morbidelli,Maverick_Viñales,Andrea_Dovizioso,Franco_Morbidelli,Maverick_Viñales,Francesco_Bagnaia,Miguel_Oliveira,Takaaki_Nakagami,Jack_Miller,Miguel_Oliveira,Andrea_Dovizioso,Maverick_Viñales,Pol_Espargaro,Brad_Binder,Miguel_Oliveira,Miguel_Oliveira,Pol_Espargaro,Enea_Bastianini,Enea_Bastianini,Iker_Lecuona,Fabio_Quartararo,Francesco_Bagnaia,Alex_Rins,Alex_Marquez,Brad_Binder,Jack_Miller,Jack_Miller,Francesco_Bagnaia,Aleix_Espargaro,Alex_Rins,Joan_Mir,Aleix_Espargaro,Johann_Zarco,Johann_Zarco,Marc_Marquez,Jorge_Martin,Brad_Binder,Luca_Marini,Aleix_Espargaro,Luca_Marini,Marc_Marquez,Miguel_Oliveira,Jorge_Martin,Joan_Mir,Luca_Marini,Luca_Marini,Jack_Miller,Jack_Miller,Marc_Marquez,Joan_Mir,Aleix_Espargaro,Joan_Mir,Enea_Bastianini,Joan_Mir
7.0,Fabio_Quartararo,Aleix_Espargaro,Takaaki_Nakagami,Andrea_Dovizioso,Francesco_Bagnaia,Pol_Espargaro,Fabio_Quartararo,Franco_Morbidelli,Danilo_Petrucci,Joan_Mir,Michele_Pirro,Alex_Rins,Fabio_Quartararo,Cal_Crutchlow,Maverick_Viñales,Pol_Espargaro,Franco_Morbidelli,Joan_Mir,Joan_Mir,Pol_Espargaro,Andrea_Dovizioso,Valentino_Rossi,Takaaki_Nakagami,Fabio_Quartararo,Alex_Marquez,Brad_Binder,Takaaki_Nakagami,Stefan_Bradl,Andrea_Dovizioso,Francesco_Bagnaia,Miguel_Oliveira,Maverick_Viñales,Joan_Mir,Jorge_Martin,Jack_Miller,Brad_Binder,Fabio_Quartararo,Francesco_Bagnaia,Joan_Mir,Aleix_Espargaro,Takaaki_Nakagami,Iker_Lecuona,Aleix_Espargaro,Aleix_Espargaro,Marc_Marquez,Marc_Marquez,Aleix_Espargaro,Pol_Espargaro,Maverick_Viñales,Alex_Rins,Brad_Binder,Fabio_Quartararo,Luca_Marini,Maverick_Viñales,Jorge_Martin,Brad_Binder,Maverick_Viñales,Takaaki_Nakagami,Alex_Rins,Brad_Binder,Franco_Morbidelli,Brad_Binder,Maverick_Viñales,Marc_Marquez,Jorge_Martin,Alex_Marquez,Alex_Rins,Alex_Rins,Takaaki_Nakagami,Maverick_Viñales,Luca_Marini
8.0,Pol_Espargaro,Valentino_Rossi,Fabio_Quartararo,Valentino_Rossi,Miguel_Oliveira,Takaaki_Nakagami,Danilo_Petrucci,Fabio_Quartararo,Jack_Miller,Valentino_Rossi,Cal_Crutchlow,Joan_Mir,Jack_Miller,Joan_Mir,Joan_Mir,Joan_Mir,Cal_Crutchlow,Valentino_Rossi,Valentino_Rossi,Alex_Marquez,Cal_Crutchlow,Franco_Morbidelli,Danilo_Petrucci,Takaaki_Nakagami,Andrea_Dovizioso,Andrea_Dovizioso,Stefan_Bradl,Aleix_Espargaro,Jack_Miller,Miguel_Oliveira,Andrea_Dovizioso,Fabio_Quartararo,Andrea_Dovizioso,Alex_Rins,Joan_Mir,Fabio_Quartararo,Valentino_Rossi,Brad_Binder,Brad_Binder,Maverick_Viñales,Pol_Espargaro,Alex_Marquez,Johann_Zarco,Maverick_Viñales,Aleix_Espargaro,Alex_Marquez,Pol_Espargaro,Aleix_Espargaro,Johann_Zarco,Marc_Marquez,Enea_Bastianini,Jorge_Martin,Johann_Zarco,Fabio_Quartararo,Johann_Zarco,Alex_Rins,Brad_Binder,Brad_Binder,Fabio_Quartararo,Fabio_Di,Brad_Binder,Takaaki_Nakagami,Fabio_Quartararo,Brad_Binder,Joan_Mir,Francesco_Bagnaia,Johann_Zarco,Brad_Binder,Enea_Bastianini,Alex_Marquez,Enea_Bastianini
9.0,Francesco_Bagnaia,Alex_Rins,Aleix_Espargaro,Alex_Rins,Danilo_Petrucci,Tito_Rabat,Takaaki_Nakagami,Cal_Crutchlow,Pol_Espargaro,Franco_Morbidelli,Pol_Espargaro,Danilo_Petrucci,Danilo_Petrucci,Jack_Miller,Takaaki_Nakagami,Jack_Miller,Takaaki_Nakagami,Danilo_Petrucci,Aleix_Espargaro,Johann_Zarco,Jack_Miller,Johann_Zarco,Maverick_Viñales,Jack_Miller,Franco_Morbidelli,Johann_Zarco,Fabio_Quartararo,Alex_Marquez,Takaaki_Nakagami,Danilo_Petrucci,Iker_Lecuona,Iker_Lecuona,Aleix_Espargaro,Enea_Bastianini,Brad_Binder,Jorge_Martin,Alex_Marquez,Franco_Morbidelli,Jack_Miller,Luca_Marini,Iker_Lecuona,Joan_Mir,Joan_Mir,Danilo_Petrucci,Takaaki_Nakagami,Enea_Bastianini,Jack_Miller,Brad_Binder,Marc_Marquez,Alex_Marquez,Aleix_Espargaro,Johann_Zarco,Alex_Rins,Marco_Bezzecchi,Aleix_Espargaro,Marco_Bezzecchi,Miguel_Oliveira,Luca_Marini,Aleix_Espargaro,Miguel_Oliveira,Aleix_Espargaro,Miguel_Oliveira,Enea_Bastianini,Johann_Zarco,Miguel_Oliveira,Pol_Espargaro,Fabio_Quartararo,Jorge_Martin,Marco_Bezzecchi,Jorge_Martin,Francesco_Bagnaia
10.0,Takaaki_Nakagami,Takaaki_Nakagami,Pol_Espargaro,Aleix_Espargaro,Franco_Morbidelli,Johann_Zarco,Maverick_Viñales,Alex_Rins,Andrea_Iannone,Stefan_Bradl,Fabio_Quartararo,Jack_Miller,Joan_Mir,Andrea_Iannone,Aleix_Espargaro,Danilo_Petrucci,Stefan_Bradl,Takaaki_Nakagami,Pol_Espargaro,Alex_Rins,Johann_Zarco,Alex_Rins,Cal_Crutchlow,Aleix_Espargaro,Danilo_Petrucci,Danilo_Petrucci,Maverick_Viñales,Johann_Zarco,Pol_Espargaro,Takaaki_Nakagami,Fabio_Quartararo,Danilo_Petrucci,Maverick_Viñales,Brad_Binder,Pol_Espargaro,Takaaki_Nakagami,Aleix_Espargaro,Enea_Bastianini,Aleix_Espargaro,Valentino_Rossi,Maverick_Viñales,Danilo_Petrucci,Pol_Espargaro,Valentino_Rossi,Pol_Espargaro,Takaaki_Nakagami,Enea_Bastianini,Takaaki_Nakagami,Pol_Espargaro,Dani_Pedrosa,Valentino_Rossi,Maverick_Viñales,Marco_Bezzecchi,Enea_Bastianini,Brad_Binder,Jorge_Martin,Alex_Marquez,Maverick_Viñales,Marco_Bezzecchi,Enea_Bastianini,Darryn_Binder,Marc_Marquez,Marco_Bezzecchi,Aleix_Espargaro,Alex_Rins,Maverick_Viñales,Takaaki_Nakagami,Alex_Marquez,Brad_Binder,Brad_Binder,Franco_Morbidelli
